Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Session,Order pressed,Response type
S1,2017.08.10,113,29,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.966667,210.7,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,114,29,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.3833333,211.0833,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,115,29,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.3333333,211.4167,4006,4,1,FALSE,0,6,1,5,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,116,29,B,D,1,0,No Hint,Unknown,1,0,bl,0.2833333,211.7,4006,4,1,FALSE,0,6,2,1,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,121,31,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.966667,224.15,4006,4,1,FALSE,0,6,3,3,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,122,31,C,B,1,0,No Hint,Unknown,bl,bl,bl,0.4,224.55,4006,4,1,FALSE,0,6,5,2,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,123,31,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.3833333,224.9333,4006,4,1,FALSE,0,6,1,5,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,124,31,B,D,1,0,No Hint,Unknown,1,0,bl,0.3666667,225.3,4006,4,1,FALSE,0,6,2,1,4006.02,,40,3,2,1,Testing,,
S1,2017.08.10,125,32,A,A,1,0,No Hint,Unknown,bl,bl,bl,1.35,230.7667,4006,4,1,FALSE,0,6,5,5,4006.01,,40,3,2,1,Testing,ACDB,Center Embedded
S1,2017.08.10,126,32,C,B,1,0,No Hint,Unknown,bl,bl,bl,1.05,231.8167,4006,4,1,FALSE,0,6,1,0,4006.03,,40,3,2,1,Testing,,
S1,2017.08.10,127,32,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.3166667,232.1333,4006,4,1,FALSE,0,6,2,1,4006.04,,40,3,2,1,Testing,,
S1,2017.08.10,128,32,B,D,1,0,No Hint,Unknown,1,0,bl,0.3333333,232.4667,4006,4,1,FALSE,0,6,0,2,4006.02,,40,3,2,1,Testing,,
