Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Test or Training,Order pressed,Response type,Age,TACL Vocab Raw,TACL Grammar Morph Raw ,TACL EPS RAW,TEMA RAW,FORWARDS DIGITS,STD ACC,EXCLUDE,Notes
k0467,2015.04.03,118,36,B,D,1,0,No Hint,Unknown,1,0,bl,0.5666667,662.3833,4006,4,1,FALSE,0,6,0,5,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,119,37,A,A,1,0,No Hint,Unknown,,bl,bl,2.7,669.4333,4006,4,1,FALSE,0,6,4,4,4006.01,,40,3,2,1,TEST,ADBC,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,120,37,D,B,1,0,No Hint,Unknown,,bl,bl,1.833333,671.2667,4006,4,1,FALSE,0,6,2,0,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,121,37,B,C,1,0,No Hint,Unknown,,bl,bl,0.9333333,672.2,4006,4,1,FALSE,0,6,0,1,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,122,37,C,D,1,0,No Hint,Unknown,1,0,bl,0.6333333,672.8333,4006,4,1,FALSE,0,6,1,2,4006.03,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,127,39,C,A,1,0,No Hint,Unknown,,bl,bl,4.4,694.2,4006,4,1,FALSE,0,6,3,0,4006.03,,40,3,2,1,TEST,CBAD,ALL OTHER,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,128,39,B,B,1,0,No Hint,Unknown,,bl,bl,1.716667,695.9167,4006,4,1,FALSE,0,6,4,4,4006.02,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,129,39,A,C,1,0,No Hint,Unknown,,bl,bl,1.55,697.4667,4006,4,1,FALSE,0,6,0,3,4006.01,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0467,2015.04.03,130,39,D,D,1,0,No Hint,Unknown,1,0,bl,0.6666667,698.1333,4006,4,1,FALSE,0,6,1,1,4006.04,,40,3,2,1,TEST,,,4.629705681,24,38,51,20,15,0.4,0,0
k0473,2015.04.14,9,3,A,A,1,0,No Hint,Unknown,,bl,bl,3.85,26.36667,4006,4,1,FALSE,0,6,2,2,4006.01,,40,3,2,1,TEST,ACDB,Center Embedded,4.739219713,39,53,45,22,21,0.7,0,0
